Location,Name,Frequency,Duplex,Offset,Tone,rToneFreq,cToneFreq,DtcsCode,DtcsPolarity,Mode,TStep,Skip,Comment,URCALL,RPT1CALL,RPT2CALL,DVCODE
150,W4KEV,145.370000,-,0.600000,Tone,100.0,88.5,023,NN,FM,5.00,,"Knoxville, Sharps Ridge",,,,
151,KK4DKW,145.270000,-,0.600000,Tone,127.3,127.3,023,NN,FM,5.00,,Maryville,,,,
152,W4BBB,145.210000,-,0.600000,Tone,100.0,100.0,023,NN,Auto,5.00,,"Knoxville, Sharp's Ridge",,,,
153,W4BBB,147.300000,+,0.600000,Tone,100.0,88.5,023,NN,Auto,5.00,,"Walland, Chilhowee Mtn",,,,
154,KI4KIL,147.090000,+,0.600000,,88.5,88.5,023,NN,FM,5.00,,"Jamestown, Round Mtn Rd",,,,
155,W4SKH,146.970000,-,0.600000,Tone,88.5,88.5,023,NN,FM,5.00,,"Oak Ridge, Water Tower",,,,
156,AC4JF,145.330000,-,0.600000,Tone,100.0,100.0,023,NN,FM,5.00,,Walland,,,,
157,W4OLB,146.655000,-,0.600000,Tone,100.0,88.5,023,NN,FM,5.00,,"Maryville, Reservoir Hill",,,,
158,W4KEV,147.195000,+,0.600000,Tone,100.0,100.0,023,NN,FM,5.00,,"Gatlinburg, Ski Mountain",,,,
159,KK4VQG,145.020000,+,0.600000,,88.5,88.5,023,NN,DV,5.00,,Caryville,CQCQCQ,,,0
160,KD4CWB,147.000000,-,0.600000,Tone,100.0,100.0,023,NN,Auto,5.00,,"Dupont Springs, Greentop",,,,
161,K4EZK,146.820000,-,0.600000,Tone,141.3,141.3,023,NN,FM,5.00,,"Tellico Plains, Waucheesi Mountain",,,,
162,W8EYU,146.865000,-,0.600000,Tone,118.8,118.8,023,NN,Auto,5.00,,Crossville,,,,
163,K4APY,147.120000,+,0.600000,Tone,82.5,82.5,023,NN,FM,5.00,,"Rockwood, Mt. Roosevelt",,,,
164,K4DPD,147.390000,+,0.600000,,88.5,88.5,023,NN,FM,5.00,,"Dayton, Evensville Mountain",,,,
165,WA4YZY,146.835000,+,0.600000,Tone,100.0,100.0,023,NN,FM,5.00,,"Pineville, Chained Rock",,,,
166,WB4GBI,145.430000,-,0.600000,Tone,118.8,118.8,023,NN,Auto,5.00,,"Knoxville, Bays Mtn - WJBZ Tower ",,,,
167,KM4MCN,144.980000,split,147.480000,,88.5,88.5,023,NN,DV,5.00,,Benton,CQCQCQ,,,0
168,KG4OXG,145.490000,-,0.600000,Tone,131.8,88.5,023,NN,FM,5.00,,Pennington Gap,,,,
169,KD4CWB,145.040000,+,0.600000,,88.5,88.5,023,NN,DIG,5.00,,"Knoxville, Bluff Mtn",,,,
170,WB4GBI,147.150000,+,0.600000,Tone,118.8,88.5,023,NN,FM,5.00,,"Oliver Springs, Windrock Mountain",,,,
171,KA4ELN,145.450000,split,147.975000,Tone,123.0,123.0,023,NN,P25,5.00,,Cleveland,,,,
172,KB4PTJ,146.700000,-,0.600000,,88.5,88.5,023,NN,Auto,5.00,,Williamsburg,,,,
173,WB4GBI,146.850000,-,0.600000,Tone,118.8,88.5,023,NN,FM,5.00,,"Sevierville, Bluff Mountain (Greentop)",,,,
174,W4KEV,146.880000,-,0.600000,,88.5,88.5,023,NN,Auto,5.00,,"Knoxville, Sharps Ridge ",,,,
175,W8EYU,146.895000,-,0.600000,Tone,118.8,88.5,023,NN,FM,5.00,,"Crossville, exit 320 I-40, old AT&amp;T tower",,,,
176,W4KEV,145.100000,-,0.600000,,88.5,88.5,023,NN,DV,5.00,,"Knoxville, Sharps Ridge",CQCQCQ,,,0
177,KF4JPU,147.285000,+,0.600000,,88.5,88.5,023,NN,FM,5.00,,Pikeville,,,,
178,,147.300000,+,0.600000,Tone,100.0,88.5,023,NN,FM,5.00,,Knoxville,,,,
179,AA4UT,146.670000,+,0.600000,Tone,100.0,88.5,023,NN,FM,5.00,,"Knoxville, Min Kao Building UT Campus",,,,
200,K4AIH,224.880000,-,1.600000,,88.5,88.5,023,NN,FM,5.00,,Andrews,,,,
201,N2GE,224.260000,-,1.600000,,88.5,88.5,023,NN,FM,5.00,,"Canton, Mount Pisgah",,,,
202,N4OQJ,224.380000,-,1.600000,Tone,100.0,88.5,023,NN,FM,5.00,,Knoxville,,,,
203,AJ4G,224.120000,-,1.600000,Tone,100.0,88.5,023,NN,FM,5.00,,Middlesboro,,,,
204,K4MFD,224.440000,-,1.600000,Tone,118.8,118.8,023,NN,FM,5.00,,"Greeneville, Viking Mountain",,,,
205,K4ARO,224.060000,-,1.600000,Tone,156.7,88.5,023,NN,FM,5.00,,Seymour,,,,
206,KA4ELN,224.100000,-,1.600000,Tone,123.0,88.5,023,NN,FM,5.00,,"Cleveland, CARC Clubhouse",,,,
207,KB4PNG,224.140000,-,1.600000,Tone,77.0,88.5,023,NN,FM,5.00,,Oneida,,,,
208,WB4GBI,224.340000,-,1.600000,,88.5,88.5,023,NN,FM,5.00,,Knoxville,,,,
209,KA4OAK,224.280000,-,1.600000,,88.5,88.5,023,NN,FM,5.00,,"Caryville, Caryville Mountain",,,,
210,KD4CWB,224.860000,-,1.600000,Tone,100.0,100.0,023,NN,FM,5.00,,"Dupont Springs, Greentop",,,,
211,W4KEV,224.200000,-,1.600000,Tone,100.0,88.5,023,NN,FM,5.00,,"knoxville, Sharps Ridge",,,,
300,KG4FZR,442.275000,+,5.000000,Tone,141.3,88.5,023,NN,FM,5.00,,Athens,,,,
